keyword,url,judul,bahan,langkah
ayam,https://cookpad.com/id/resep/25024867,531. Homemade Chicken Luncheon #KelasSosis,"500 gr Paha Ayam Fillet,60 gr Putih Telur,50 gr Bawang Putih haluskan,85 gr Bawang Bombay haluskan,1,5 sdt Angkak Powder (7gr),1/2 sdt Merica Bubuk (3gr),3/4 sdt Garam (7gr),1 sdm Kecap Asin (15ml),1 sdm Kecap Ikan (15ml),1/2 sdt Micin Asatu dari rose brand (Kaldu Bubuk 1sdt/5gr),2 sdt Gula Rosebrand (20gr),80 ml Minyak Goreng Rose brand,80 gr Maizena Rose brand,1-2 sdm Minyak Goreng untuk menggoreng","Siapkan semua bahan, ayam segar wajib masuk Freezer minimal 1jam untuk hasil yang lebih kenyal dan adonannya juga tdk terlalu lembek.,Masukan semua bahan kecuali maizena dan minyak goreng, giling sampai halus.

Note : Sebaiknya bawang bombai dan bawang putih dihaluskan terlebih dahulu untuk hasil akhir yang lebih padat (tidak rongga),Setelah halus masukan minyak goreng dan maizena haluskan kembali, pastikan adonan benar-benar halus.,Tuang ke dalam Loyang/mangkuk tahan panas yang seluruh bagian sudah diolesi minyak dan dialasi baking papper bagian dasarnya saja. Padatkan dengan cara ditekan dengan sencok atau spatula.,Panaskan kukusan, kalau sdh mendidih masukan luncheon dan kukus selama 30 menit. Setelah itu angkat keluarkan dr cetakan, biarkan suhu ruang/set baru di iris sesuai selera. Iris sesuai selera.,Bisa dimakan langsung atau dipan dengan minyak/margarin Rose Brand."
ayam,https://cookpad.com/id/resep/25001873,Chicken Pepperoni Sayur,"500 gr Daging dada ayam + lemak,100 gr Sawi hijau,25 ml Air,3 butir Bawang putih,67 gr Putih telur,15 gr Garam,35 gr Gula,1 sdt Kaldu bubuk,1/2 sdt Lada hitam,1 sdt Merica bubuk,25 ml Minyak goreng,75 gr Tepung tapioka","Potong kecil daging ayam, rebus sebentar sawi hijau. Masukkan daging, sawi hijau rebus, bawang putih, garam, gula, merica, lada hitam, putih telur, dan air ke chopper.,Tambahkan tepung tapioka dan minyak goreng, chopper lagi hingga rata.,Bagi adonan jadi 3, gulung di plastik, ikat ujungnya. Kukus 20 menit dengan api sedang, angkat dan tiriskan.,Tunggu dingin, potong sesuai selera. Simpan dalam wadah tertutup dan taruh di freezer.,Beberapa aq goreng pake tepung panir dan buat isian sandwich bekalnya bocil 😅"
ayam,https://cookpad.com/id/resep/25025975,Ayam Kipas Rumahan,"4 paha ayam,5 siung bawang merah,5 siung bawang putih,Sejempol jahe,2 sdt ketumbar,1 sdt garam,2 sdt bubuk paprika,2 sdt bubuk kunyit,2 sdt kaldu ayam,6 lembar daun jeruk purut,1 butir telur,2 sdt perasan jeruk nipis,1 sdt baking powder,2 sdm tepung tapioka,2 sdm tepung beras","Bentuk paha ayam hingga menyerupai kipas (saya pakai gunting dapur lebih mudah),Haluskan semua bumbu,Lumuri ayam dengan bumbu halus taburi dengan perasan jeruk dan dan daun jeruk,Lumuri sampai merata lalu diamkan kurang lebih 2 jam,Setelah 2 jam lumuri dengan tepung tapioka tepung beras serta telur,Goreng hingga matang sajikan"
ayam,https://cookpad.com/id/resep/25024535,Sosis Homemade Chicken Bratwurst,"650 gr fillet paha ayam (me : beli yg sdh di giling),50 gr lemak ayam,50 gr putih telur,190 gr air es/ es serut,5 gr baking powder double acting,50 gr Tapioka,25 gr Gula Rose Brand,1/2 sdt micin (me..skip),20 gr garam,1 sdm Smoke powder,1 sdt garlic powder,1 sdt onion powder,1 sdt angkak powder,1,5 sdt bumbu bockwurst,1 sdt parsley kering,1 pcs selongsong diameter 23,55mm,1 gulung benang wol putih potong uk 7 cm","Siapkan semua bahan yang diperlukan. Disini saya menggunakan daging paha ayam yg sdh di giling dengan kulit dan lemak. Ketika daging sdh mencair saya giling lagi daging dengan es batu dan putih telur.,Setelah adonan daging halus tambahkan semua bumbu dan aduk rata. Terakhir masukan tepung Tapioka dan baking powder aduk rata. Bila adonan daging sdh rata dan mengental..masukan ke dlm piping bag.,Siapkan selongsong gunting jadi 2 bagian kemudian masukan piping bag yg ujung nya sdh digunting kemudian tekan agar daging keluar dan secara otomatis selongsong akan memanjang terisi daging. (maaf tidak ada fotonya krn mengerjakan sendirian). Usahakan jgn sampai pengisian daging terputus spy tidak ada udara di dlm nya.,Bila semua daging sdh masuk selongsong...pipihkan rata dan ikat dengan tali sesuai panjang sosis yg di ingin kan. Setelah di ikat pasti kan lagi tidak ada udara dlm selongsong dengan cara menusuk dengan jarum secara acak. Bila saat di urut atau di rata kan hingga pipih ternyata selongsong menggembung segera tusuk bagian itu sambil di tekan perlahan sampai udara keluar dan tidak gembung.,Didihkan air hanya sampai dasar air terdapat gelembung (jgn terlampau panas mendidih) kemudian masukan selongsong dan atur agar sosis tidak ada yg saling menimpa. Rebus selama 15 menit.,Sambil menunggu rebusan siapkan air es di wadah. Jika sdh me rebus selama 15 menit angkat dan langsung masukan ke wadah berisi air es kurleb 1 menit kemudian angkat dan tiriskan.,Jika sosis sdh mencapai suhu ruang Letakan sosis ke loyang yg sdh di beri kertas baking dan panggang di oven dengan suhu 60-100 derajat selama 15-20 menit agar kulit nya me nyatu dengan sosis dan agar tahan lama. Sesuaikan dengan oven masing2 ya..karena di saya suhu 120 baru berhasil. Jangan lupa di balik spy dua sisi sosis me nyatu dengan kulitnya.,Jika sdh selesai di panggang... keluar kan sosis dr oven dan tunggu hingga dingin. Sosis dpt di simpan di wadah kedap udara dan masukan ke freezer. Bila Ingin disantap bisa di goreng terlebih dahulu. Sosis juga bisa langsung dimakan krn sdh matang."
ayam,https://cookpad.com/id/resep/25024764,Bakso Ayam Wortel Buncis,"500 gram fillet dada ayam,2 sdm bawang merah goreng,2 siung bawang putih,1 buah wortel diiris tipis/ diparut,7 buah buncis,2 sdt kaldu bubuk,5 sdm tepung tapioka,1/2 sdt garam,1 sdt merica bubuk,1 sdt saus tiram","Chopper ayam, wortel, buncis, bawang putih, bawang merah goreng. Masukkan juga kaldu bubuk, garam, lada bubuk dan saos tiram. Jika adonan sudah tercampur, pindahkan ke wadah yang agak besar.,Kemudian tambahkan tepung tapioka. Aduk sampai adonan bisa dibentuk.,Didihkan air dipanci.Kemudian bentuk adonan bulat2. Lalu direbus. Rebus hingga bakso matang (bakso naik / mengapung dipermukaan tanda sudah matang),Dan bakso ayam wortel buncis siap dinikmati. Bisa dikreasikan untuk berbagai masakan. Atau untuk camilan dicocol dengan saos sambal. Enak dan sehat tentunya"
ayam,https://cookpad.com/id/resep/25024767,Kangkung Ayam Tauge,"250 gr ayam, potong,1 ikat kangkung, siangi,Segenggam tauge,3 siung bawang putih,7 siung bawang merah,3 buah cabe merah besar,5 buah cabe rawit,1 buah tomat merah potong,secukupnya Terasi,secukupnya Saus tiram,secukupnya Gula garam dan kaldu bubuk,secukupnya Air","Tumis bumbu halus hingga harum,Masukkan ayam aduk rata hingga berubah warna,Tambahkan air secukupnya,Masukkan saus tiram gula garam dan kaldu bubuk secukupnya,Koreksi rasa,Masukkan kangkung tauge dan tomat aduk rata,Masak sebentar agar tekstur tetap renyah,Angkat dan sajikan"
ayam,https://cookpad.com/id/resep/25024638,Homemade Chicken Luncheon,"500 gr paha ayam fillet,60 gr putih telur,50 gr bawang putih,85 gr bawang bombay,1,5 sdt angkak powder (saya pakai 1 sdt pewarna makanan merah tua),1/2 sdt lada bubuk,3/4 sdt garam,1 sdm kecap asin,1 sdm kecap ikan,1/2 sdt penyedap,2 sdt gula pasir,80 ml minyak goreng,80 gr maizena Rose Brand","Bersihkan paha ayam, potong kecil-kecil. Kemudian masukkan ke dalam freezer selama 30 menit. Kemudian masukkan paha ayam fillet ke dalam Chopper bersama putih telur, semua bawang, kecap asin, kecap ikan, garam, penyedap, lada bubuk, dan angkak powder (pewarna makanan). Kemudian haluskan hingga tekstur nya lembut dan halus.,Kemudian masukkan minyak goreng, dan maizena Rose Brand, Chopper hingga rata.,Panaskan kukusan. Olesi loyang dengan sedikit minyak goreng, alasi dasar loyang dengan baking paper. Tuangkan adonan. Kukus selama 30 menit.,Setelah matang, biarkan hingga dingin suhu ruang dan set, lalu potong-potong sesuai selera. Kemudian masukkan ke dalam wadah kedap udara, kemudian simpan di freezer."
ayam,https://cookpad.com/id/resep/25024871,Mie ayam baso bumbu medok simple,"4 keping Mie telur rebus sampai aldente, sisihkan. (saya beli jadi biar praktis mie telurnya, merk bebas), Bahan ayam kecap :,500 gr daging ayam fillet bagian dada &amp; paha potong dadu (saya pakai tanpa kulit karna kulitnya di pakai untuk campuran minyak bawang),2 butir kemiri,5 siung bamer,4 siung baput,2 sdm kecap manis,1 sdm saus tiram,3 sdm minyak untuk campuran saat chopper bumbu (jadi pas numis gak perlu di tambah minyak lagi),1 sdt kaldu jamur &amp; garam,1/4 sdt merica bubuk,2 sdm gula pasir (optional sesuaikan selera ya),1 lembar daun jeruk,150 ml air, Bahan untuk minyak bawang :,5 siung baput cincang kasar (chopper kasar),100 ml minyak sayur,50-100 gr kulit ayam,50 ml air, Bahan pelengkap untuk topping :,Secukupnya Minyak wijen,Secukupnya Kulit pangsit di potong kotak kemudian di goreng &amp; sisihkan,Secukupnya baso sapi (boleh di skip kalau tidak ada stok),Secukupnya pakcoy atau sawi biasa. Rebus dan sisihkan,Secukupnya Timun acar (saya ga pake karna gak punya stok timun),Secukupnya Saus sambal, saus tomat, kecap manis, bawang goreng, wijen sangrai, Bahan kuah :,200 gr tulang ayam sisa untuk ayam kecap (jadi pas fillet jangan di buang ya tulangnya),500 ml air,1 sdt kaldu bubuk","Langkah pertama kita buat minyak bawang.,Ambil kulit ayam, beri air. Masak di teflon sampai air memgering. Masak terus sampai kulit mulai mengeluarkan minyak.,Tambahkan minyak goreng. Goreng terus sampai kulit ayam kering dan krispi. Angkat dan sisihkan kulitnya.,Minyak yang masih panas tuang bawang putih cincang. Aduk2 masak terus dengan menggunakan api kecil. Hati2 ya jangan sampai gosong biar tidak pahit. Matikan api saat bawang mulai kecoklatan. Sisihkan,Bahan ayam kecap :,Haluskan semua bumbu kecuali daun jeruk ya.,Tumis bumbu sampai tanak dan pecah minyak.,Masukkan potongan daging ayam. Aduk balik sampai ayam terbaluri bumbu.,Tambahkan gula,garam,kaldu jamur, merica bubuk, saus tiram, kecap manis & daun jeruk. Aduk rata.,Tambahkan air. Aduk sesekali dan Masak sampai air menyusut dan mengental.Test rasa ya. Matikan api.,Kuah mie ayam :,Rebus air sampai mendidih. Masukkan potongan tulang ayam. Masak terus sampai mengeluarkan buih. Ambil dan buang buih2 kotoran di permukaan air. Lakukan sampai buihnya habis.,Rebus terus tulang ayam sampai keluar kaldu ayamnya (biasanya keluar minyak lemak ayamnya),Tambahkan kaldu bubuk, aduk rata. Test rasa. Matikan api,Saatnya plating.,Ambil mangkuk.,Tambahkan 1 sdm minyak bawang + secubit kaldu jamur & 1 sdt minyak wijen.,Masukkan mie telur ke dalam mangkuk. Aduk rata agar tercampur dengan minyak bawang.,Tambahkan topping ayam kecap di bagian tengah. Beri pakcoy rebus, baso, dan pangsit goreng.,Beri taburan wijen sangrai / bawang goreng.,Ambil mangkuk kecil isi dengan kuah mie ayam. Taburi bawang daun/ bawang goreng,Mie ayam siap di sajikan. Selamat mencoba,Enjoy it... Happy cooking & happy recook 😉"
ayam,https://cookpad.com/id/resep/25021822,Mix Platter (Chicken Nori Roll),"400 gr fillet paha ayam,4 siung bawang putih,4 sdm kecap asin,1 sdm saus tiram,1 sdm minyak wijen,1 butir putih telur,3 sdt kaldu jamur,2 sdm tepung tapioka,1 sdt lada bubuk,1 buah wortel parut,1 batang daun bawang iris halus,Secukupnya nori untuk membungkus,3 sdm tepung terigu,1 sdm maizena,80-100 ml air,5 sdm mayonaise,1 butir telur, rebus, kupas cincang halus,1/2 buah bawang bombay uk.kecil, cincang halus,1/4 sdt oregano","Blender ayam, putih telur, tepung tapioka dan semua bumbu2 hingga lembut dan tercampur rata.,Siapkan wortel parut dan daun bawang yang sudah di iris halus. Campurkan ke dalam adonan ayam. aduk rata. koreksi rasa. pastikan asinnya sudah pas yaa..,Siapkan plastik segitiga. masukan adonan ayam ke dalam plastik, potong ujungnya sedikit.. siapkan 1lembar nori, lalu bagi 2 sama besar. (kalau mau pakai 1nori 1gulungan jg boleh yaa, sesuai selera). isikan adonan ayam diatas nori, lalu gulung. rekatkan ujung nori menggunakan air. lakukan hingga adonan habis.,Potong kecil nori menjadi 4 bagian (sesuai selera), Siapkan larutan pelapis. celupkan nori ke dalam bahan pelapis, lalu goreng hingga matang. tiriskan.,Tartar saus : campur semua bahan, aduk rata.,Sajikan bersama kentang goreng, salad sayur dan lainnya, sesuai selera 😋 ||"
ayam,https://cookpad.com/id/resep/14098749,Chiken katsu saos asam manis,"6 sendok tepung terigu,1/4 kg ayam, merica, garam, kaldu ayam, bawang putih bubuk,1 ekor telur, tepung panir/tepung roti, wortel, kubis (kol), garam, gula,5 sendok cuka,150 ml air","Potong ayam fillet sesuai selera lalu geprek (pukul pukul) lalu taburi garam dan merica hingga rata dan biarkan hingga meresap kurang lebih 10 menit,Masukkan merica, kaldu, bawang putih bubuk pada tepung dan aduk rata,Pecahkan telur dan kocok lepas,Masukkan ayam pada tepung ratakan lalu lanjutkan masukkan ke telur ratakan baru pindahkan ke tepung roti rata kan dan siap digoreng,Goreng hingga matang dan siap disajikan,Potong potong wortel dan kubis sesuai selera"
ayam,https://cookpad.com/id/resep/25018367,Ayam bakar manis,"1/2 kg ayam,4 butir kemiri,10 siung bawang merah,5 siung bawang putih,5 cabe keriting,2 cabe setan,1 ruas jari jahe,1 ukuran telunjuk kunyit,1 sereh,Secukupnya asam jawa,Secukupnya kecap manis,Secukupnya garam,Secukupnya gula putih,Secukupnya Royco,1/4 bagian kaldu blok,3 lembar daun jeruk,2 lembar daun salam,1/4 butir jeruk,Secukupnya kecap manis,Secukupnya gula merah,Secukupnya asam jawa","Cuci bersih ayam, tiriskan, dan beri perasan jeruk nipis dan sedikit garam.,Blender kemiri. Kemudian blender sereh (potong2 dahulu), jahe, kunyit hingga halus. Masukkan duo bawang, dan cabe2an. Blender hingga halus.,Siapkan minyak, tumis bumbu halus. Masukkan garam, gula merah dan putih, royco, kaldu blok, dan daun2an.,Jika sudah agak kering, matikan kompor, masukkan ayam aduk rata beri kecap. biarkan sekitar 20 menit,Nyalakan kompor, masukkan air asam. Kemudian tutup. Sambil sesekali diaduk dan koreksi rasa. Rebus hingga keluar minyak.,Panggang ayam d teflon, dan oles dengan sisa bumbu ungkep tadi,Ayam bakar siao disantap dengan sambalnya."
ayam,https://cookpad.com/id/resep/25002487,Ayam Goreng Serundeng,"1 ekor ayam (potong 10),1 buah jeruk nipis,100 gr kelapa parut,1 bungkus bumbu ayam ungkep yg sudah dihaluskan,Secukupnya air,Secukupnya garam,1 sdt penyedap rasa,6 buah bawang putih, iris tipis,1 sdt gula aren,Secukupnya minyak goreng,2 lbr daun jeruk,2 lbr daun salam,1 lbr daun pandan,1 batang serai, geprek","Cuci ayam hingga bersih, beri jeruk nipis. Diamkan selama 10 menit. Tumis bumbu ayam ungkep halus, tambahkan bumbu aromatik, tumis hingga harum. Tambahkan potongan ayam. Aduk hingga bumbu tercampur rata.,Beri air hingga ayam terendam. Tambahkan garam. Masak hingga air menyusut. Kemudian tambahkan kelapa parut. Lalu tambahkan penyedap rasa. Masak hingga bumbu menyerap kedalam kelapa parut,Kemudian angkat ayam dari bumbu kelapa parut. Sisihkan. Masukan gula aren kedalam bumbu kelapa parut, aduk rata. Angkat bumbu kelapa parut, peras airnya.,Goreng bumbu kelapa hingga warna keemasan. Tiriskan bumbu kelapa hingga kering,Goreng ayam hingga warnanya keemasan. Goreng bawang putih hingga warna keemasan. Angkat dan tiriskan. Taruh potongan ayam didalam wadah, taburi dengan kelapa serundeng dan bawang putih goreng. Ayam goreng serundeng siap dihidangkan."
ayam,https://cookpad.com/id/resep/25026741,Chicken Peperoni ala Mbak Nurul Art,"350 gr dada Ayam,150 gr paha ayam,2 butir putih telur,15 gr garam,15 ml minyak,50 gr tepung tapioka,20 gr gula pasir,3 SDM cabe kering kasar, Bahan bumbu:,1 sdt red paprika powder,1/2 sdt lada hitam bubuk,1 sdt bubuk bawang putih,1/2 sdt oregano,1 sdt angkak,1 sdt bumbu smoked, Bahan pembungkus daging:,4 buah Aku loyang muffin, Baking paper,Plastik wrap","Notes: setiap bikin makanan dr daging yang membutuhkan kekenyalan usahakan Simpan ayam didalam freezer terlebih dahulu -+1jam sebelum dihaluskan agar lebih kenyal.Lemak ayam bisa di dapatkan dari ayam bagian paha dibawah kulit. Saya punya sudah giling jadi.,Masukan Ayam dan semua bumbu kecuali minyak dan tapioka lalu haluskan, setelah itu masukan minyak dan tapioka, galuskan lagi sampai benar² lembut. Saya karena ayam sudah giling jadi, saya jadinya hanya memasukkan bumbu-bumbu,tepung dan lainnya.,Teksturnya seperti lengket dan kental,siapkan plastik wrap/baking papper/daun pisang, tata memanjang lalu rapihkan. Aku taruh di loyang muffin.Setelah itu gulung sampai membentuk tabung, (jika menggunakan plastik wrap atau baking paper,aku hanya memasukkan ke dalam loyang muffin lalu aku ratakan)panaskan kukusan sebelumnya.,Lalu kukus selama 30 menit.,Untuk mengurangi kelembapan biar lebih awet disimpan, setelah matang angkat dan biarkan dingin, kupas kemasannya lalu oven selama 20-30 menit di suhu 100°c. Iris tipis pepperoni dan siap di jadikan stock olahan seperti pizza, tumis, isian roti dll"
